"Localidades  de la Cartograf°a Geoestad°stica Urbana y Rural Amanzanada.
Cierre de la Encuesta Intercensal 2015.",,,,
ENTIDAD,MUNICIPIO,LOCALIDAD,NOMBRE DE LOCALIDAD,µMBITO
01,001,0001,Aguascalientes,U
01,001,0106,Arellano,R
01,001,0114,Residencial San Nicol†s [Ba§os la Cantera],R
01,001,0120,Buenavista de Pe§uelas,R
01,001,0121,Cabecita 3 Mar°as (Rancho Nuevo),R
01,001,0125,Ca§ada Grande de Cotorina,R
01,001,0126,Ca§ada Honda [Estaci¢n],R
01,001,0127,Los Ca§os,R
01,001,0128,El Cari§†n,R
01,001,0135,El Cedazo (Cedazo de San Antonio),R
01,001,0138,Centro de Arriba (El Taray),R
01,001,0139,Cieneguilla (La Lumbrera),R
01,001,0141,Cobos,R
01,001,0144,El Colorado (El Soyatal),R
01,001,0146,El Conejal,R
01,001,0162,Coyotes,R
01,001,0170,CuauhtÇmoc (Las Palomas),R
01,001,0171,Los Cuervos (Los Ojos de Agua),R
01,001,0190,El Duraznillo,R
01,001,0191,Los Dur¢n,R
01,001,0226,Hacienda Nueva,R
01,001,0237,Jaltomate,R
01,001,0239,General JosÇ Mar°a Morelos y Pav¢n (Ca§ada Honda),U
01,001,0256,La Loma de los Negritos,R
01,001,0265,El Malacate,R
01,001,0272,Matamoros,R
01,001,0291,Los Negritos,R
01,001,0292,El Ni†gara,R
01,001,0293,Norias de Ojocaliente,U
01,001,0296,El Ocote,R
01,001,0297,Comunidad el Roc°o,R
01,001,0315,Pe§uelas (El Cienegal),R
01,001,0345,El Refugio de Pe§uelas,R
01,001,0355,El Salto de los Salado,R
01,001,0357,Norias del Paso Hondo,U
01,001,0366,Ejido San Antonio de los Pedroza,R
01,001,0367,San Antonio de Pe§uelas,R
01,001,0370,San Felipe [Vi§edos],R
01,001,0379,San Ignacio,R
01,001,0389,San JosÇ de la Orde§a,R
01,001,0405,San Mart°n (La Cantera),R
01,001,0410,San Pedro Cieneguilla,R
01,001,0422,Santa Cruz de la Presa (La Tlacuacha),R
01,001,0429,Santa Mar°a de Gallardo,R
01,001,0437,Soledad de Abajo,R
01,001,0444,El Tanque de los JimÇnez,R
01,001,0461,Tanque el Trigo,R
01,001,0479,Villa Licenciado Jes£s Ter†n (Calvillito),U
01,001,0514,Asturias,R
01,001,0519,Barandales de San JosÇ,R
01,001,0541,Ciudad de los Ni§os,R
01,001,0584,El Gigante (Arellano),R
01,001,0597,El Guarda,R
01,001,0611,El Bramadero,R
01,001,0620,El Lucero de la Cruz,R
01,001,0648,Norias de Cedazo (Cedazo Norias de Montoro),R
01,001,0651,Ojo de Agua de Palmitas,R
01,001,0659,Lomas del Picacho,R
01,001,0701,San Antonio Primero de los Pedroza [Congregaci¢n],R
01,001,0707,San Gerardo [Condominio],R
01,001,0770,Vista Alegre,R
01,001,0863,Cotorina (Coyotes),R
01,001,0866,Montoro (Mesa del Salto),R
01,001,0952,Laureles del Sur [Fraccionamiento],R
01,001,0988,Lomas de Arellano,R
01,001,0992,Lotes de Arellano,R
01,001,1025,Pocitos,U
01,001,1075,El Relicario,R
01,001,1097,Hacienda San Marcos [Fraccionamiento],R
01,001,1100,Olinda [Fraccionamiento],R
01,001,1157,Las Violetas,R
01,001,1173,Lomas del Sur [Fraccionamiento],R
01,001,1178,Granjas F†tima,R
01,001,1179,Los Guerrero,R
01,001,1183,Lomas de Nueva York,R
01,001,2004,La Nueva Teresa,R
01,001,2014,La Aurora [Fraccionamiento],R
01,001,2016,Ampliaci¢n de Calvillito (Colonia la Herrada),R
01,001,2050,Cumbres III,R
01,001,2054,Ejido los Negritos,R
01,001,2065,Valle de San Ignacio (El Filso),R
01,001,2097,Veteranos de la Revoluci¢n [Colonia],R
01,001,2132,La Perla [Colonia],R
01,001,2151,Playas de Guadalupe,R
01,001,2308,El Polvor°n (Mirador TV Azteca),R
01,001,2309,Pozo el Trigo,R
01,001,2328,San Ignacio II y III,R
01,001,2361,Misi¢n de San Jer¢nimo [Fraccionamiento],R
01,001,2367,Villas del Mediterr†neo,R
01,001,2369,San Sebasti†n [Fraccionamiento],R
01,001,2371,Cartagena [Fraccionamiento],R
01,001,2376,Che Guevara [Colonia],R
01,001,2381,Vista Hermosa [Fraccionamiento],R
01,001,2413,Las Plazas [Condominio],R
01,001,2414,Montebello Della Stanza [Fraccionamiento],R
01,001,2415,Paseos de San Antonio [Fraccionamiento],R
01,001,2426,Q Campestre [Condominio],R
01,001,2428,Ruscello [Condominio],R
01,001,2443,Andares [Condominio],R
01,001,2444,Mayorazgo San Cristobal [Condominio],R
01,001,2445,Residencial Hacienda San Mart°n [Fraccionamiento],R
01,001,2447,Los Fresnos [Residencial Campestre],R
01,001,2448,Punta del Cielo [Fraccionamiento Residencial],R
01,001,2459,Villas de las Norias [Fraccionamiento],R
01,001,2460,Xenia Residencial [Condominio],R
01,002,0001,Asientos,U
01,002,0002,Las Adjuntas,R
01,002,0003,Licenciado Adolfo L¢pez Mateos,R
01,002,0004,Plutarco El°as Calles,R
01,002,0005,Amarillas de Esparza,R
01,002,0006,El Baj°o de los Campos,R
01,002,0007,Bimbaletes Aguascalientes (El µlamo),R
01,002,0008,Bimbaletes Atlas (Tanque de la Vieja),R
01,002,0009,Emancipaci¢n (Borunda) [Colonia],R
01,002,0010,Caldera,R
01,002,0011,CiÇnega Grande,U
01,002,0012,Clavellinas,R
01,002,0013,San Pedro [Colonia],R
01,002,0014,Cris¢stomos,R
01,002,0015,Charco Azul,R
01,002,0017,La Dichosa,R
01,002,0019,La Esperanza,R
01,002,0020,El Epazote,R
01,002,0021,Las Fraguas,R
01,002,0022,Francisco Villa,R
01,002,0023,La Gloria,R
01,002,0024,Gorriones,R
01,002,0025,Guadalupe de Atlas,R
01,002,0027,Jarillas,R
01,002,0028,Jilotepec,R
01,002,0030,L†zaro C†rdenas,R
01,002,0031,El Llavero,R
01,002,0033,Molinos,R
01,002,0034,Las Negritas,R
01,002,0035,Noria del Borrego (Norias),R
01,002,0036,Ojo de Agua de Rosales,R
01,002,0037,Ojo de Agua de los Sauces,R
01,002,0039,Pilotos,R
01,002,0040,Pino Su†rez (Rancho Viejo),R
01,002,0041,El Polvo,R
01,002,0045,El Salitre,R
01,002,0046,San Antonio de los Mart°nez,R
01,002,0047,San Gil,R
01,002,0048,San JosÇ del R°o,R
01,002,0051,San Rafael de Ocampo,R
01,002,0053,Tanque de Guadalupe,R
01,002,0054,Tanque Viejo,R
01,002,0055,El Tepetatillo [Rancho],R
01,002,0056,La Tinajuela,R
01,002,0058,El Tule,R
01,002,0059,Villa Ju†rez,U
